product_id,title,brand,category,price,currency,weight_g,rating_avg,num_ratings,inventory,created_at,product_name
P000001,NovaLink Power Bank 480,NovaLink,Power Bank,4854.9,INR,1837,4.49,218,184,2023-01-09,Power Bank 480
P000002,Voltix Gaming Console 23,Voltix,Gaming Console,3582.6,INR,2236,3.29,303,372,2022-05-26,Gaming Console 23
P000003,NeoTech Bluetooth Speaker 66,NeoTech,Bluetooth Speaker,15915.14,INR,1184,2.87,317,112,2024-07-31,Bluetooth Speaker 66
P000004,Astra Bluetooth Speaker 366,Astra,Bluetooth Speaker,28498.29,INR,890,3.27,403,77,2022-02-18,Bluetooth Speaker 366
P000005,NeoTech Power Bank 99,NeoTech,Power Bank,10614.61,INR,1051,4.06,269,363,2024-01-17,Power Bank 99
P000006,PixelWave Wireless Earbuds 85,PixelWave,Wireless Earbuds,4985.6,INR,2153,4.44,395,239,2024-03-18,Wireless Earbuds 85
P000007,NovaLink Headphones 74,NovaLink,Headphones,9020.41,INR,820,3.99,161,353,2023-03-15,Headphones 74
P000008,Everest Smartphone 414,Everest,Smartphone,6554.0,INR,2144,3.45,127,391,2023-04-30,Smartphone 414
P000009,PixelWave Bluetooth Speaker 374,PixelWave,Bluetooth Speaker,12421.53,INR,697,3.72,229,138,2021-12-18,Bluetooth Speaker 374
P000010,ByteCorp Power Bank 170,ByteCorp,Power Bank,9879.07,INR,1146,3.89,178,196,2023-11-17,Power Bank 170
P000011,Skyline Gaming Console 121,Skyline,Gaming Console,7896.07,INR,606,4.07,163,182,2021-07-11,Gaming Console 121
P000012,Everest Gaming Console 8,Everest,Gaming Console,13868.33,INR,1372,3.0,451,117,2023-02-27,Gaming Console 8
P000013,Everest Smartphone 381,Everest,Smartphone,5276.79,INR,1158,3.84,253,11,2024-06-20,Smartphone 381
P000014,Voltix Smartphone 312,Voltix,Smartphone,1556.5,INR,2996,3.88,417,454,2023-01-07,Smartphone 312
P000015,NeoTech Phone Case 395,NeoTech,Phone Case,15480.36,INR,2304,3.91,49,290,2022-11-29,Phone Case 395
P000016,ByteCorp Power Bank 234,ByteCorp,Power Bank,11307.44,INR,1533,4.15,384,276,2023-07-28,Power Bank 234
P000017,NovaLink Wireless Earbuds 418,NovaLink,Wireless Earbuds,27044.89,INR,2167,4.37,120,34,2024-05-23,Wireless Earbuds 418
P000018,Lumina Gaming Console 385,Lumina,Gaming Console,20127.07,INR,2984,3.87,88,157,2021-07-07,Gaming Console 385
P000019,NeoTech Phone Case 201,NeoTech,Phone Case,7608.53,INR,2484,3.88,307,215,2022-05-19,Phone Case 201
P000020,NeoTech Smartwatch 497,NeoTech,Smartwatch,11279.19,INR,1715,4.2,119,97,2023-12-27,Smartwatch 497
P000021,Everest Charger 29,Everest,Charger,5715.67,INR,2320,3.31,207,1,2023-09-23,Charger 29
P000022,Lumina Phone Case 335,Lumina,Phone Case,12873.42,INR,656,4.4,489,132,2024-09-08,Phone Case 335
P000023,Astra Tablet 456,Astra,Tablet,8812.75,INR,968,3.43,342,210,2021-12-10,Tablet 456
P000024,Everest Wireless Earbuds 480,Everest,Wireless Earbuds,4031.59,INR,901,4.08,12,214,2024-12-11,Wireless Earbuds 480
P000025,PixelWave Gaming Console 216,PixelWave,Gaming Console,8226.18,INR,2349,4.17,390,289,2022-07-07,Gaming Console 216
P000026,ZenX Monitor 369,ZenX,Monitor,3799.28,INR,2521,4.01,290,285,2022-06-16,Monitor 369
P000027,NeoTech Tablet 497,NeoTech,Tablet,9971.0,INR,705,3.92,111,364,2024-03-29,Tablet 497
P000028,Astra Tablet 384,Astra,Tablet,7543.04,INR,358,3.19,86,185,2021-12-12,Tablet 384
P000029,Lumina Charger 95,Lumina,Charger,4487.28,INR,1736,3.31,210,370,2024-06-13,Charger 95
P000030,Everest Smartphone 263,Everest,Smartphone,5230.46,INR,1962,4.19,90,205,2023-08-12,Smartphone 263
P000031,ZenX Smartwatch 202,ZenX,Smartwatch,9350.27,INR,307,3.47,130,43,2024-01-08,Smartwatch 202
P000032,ZenX Headphones 484,ZenX,Headphones,17304.54,INR,383,3.29,95,92,2022-08-13,Headphones 484
P000033,NeoTech Charger 232,NeoTech,Charger,10991.17,INR,657,3.89,400,269,2024-03-18,Charger 232
P000034,PixelWave Monitor 318,PixelWave,Monitor,6964.46,INR,871,3.98,145,67,2021-02-04,Monitor 318
P000035,NovaLink Headphones 471,NovaLink,Headphones,11150.92,INR,2796,3.11,120,316,2022-08-07,Headphones 471
P000036,NovaLink Smartwatch 128,NovaLink,Smartwatch,11457.98,INR,201,4.02,222,391,2021-08-23,Smartwatch 128
P000037,NeoTech Smartwatch 106,NeoTech,Smartwatch,9094.75,INR,1881,2.83,426,36,2021-11-29,Smartwatch 106
P000038,Lumina Power Bank 261,Lumina,Power Bank,15470.74,INR,246,3.39,58,309,2023-02-25,Power Bank 261
P000039,Skyline Bluetooth Speaker 380,Skyline,Bluetooth Speaker,8020.67,INR,453,4.54,392,52,2023-12-01,Bluetooth Speaker 380
P000040,Skyline Laptop 487,Skyline,Laptop,8143.45,INR,1379,3.9,492,372,2021-03-09,Laptop 487
P000041,Astra Monitor 410,Astra,Monitor,1903.66,INR,1328,3.25,67,154,2023-01-05,Monitor 410
P000042,Lumina Gaming Console 336,Lumina,Gaming Console,16345.74,INR,1565,3.91,417,393,2024-11-05,Gaming Console 336
P000043,Astra Power Bank 456,Astra,Power Bank,17391.37,INR,2345,3.81,370,126,2023-02-04,Power Bank 456
P000044,Lumina Gaming Console 398,Lumina,Gaming Console,10230.05,INR,646,3.12,13,360,2024-04-04,Gaming Console 398
P000045,PixelWave Smartwatch 459,PixelWave,Smartwatch,33933.94,INR,1237,3.95,182,329,2022-11-24,Smartwatch 459
P000046,Skyline Gaming Console 36,Skyline,Gaming Console,5336.22,INR,2961,4.11,311,437,2021-05-23,Gaming Console 36
P000047,ByteCorp Laptop 142,ByteCorp,Laptop,5328.32,INR,1841,3.2,197,240,2024-07-14,Laptop 142
P000048,NovaLink Monitor 390,NovaLink,Monitor,7069.52,INR,973,3.19,125,303,2022-03-06,Monitor 390
P000049,Everest Bluetooth Speaker 329,Everest,Bluetooth Speaker,5241.65,INR,2849,3.25,21,458,2023-11-07,Bluetooth Speaker 329
P000050,ZenX Smartphone 160,ZenX,Smartphone,16933.56,INR,1734,3.68,231,174,2024-04-10,Smartphone 160
P000051,ZenX Gaming Console 432,ZenX,Gaming Console,9402.85,INR,2539,4.44,204,433,2021-03-16,Gaming Console 432
P000052,Skyline Charger 180,Skyline,Charger,7382.37,INR,2274,3.31,119,373,2023-12-10,Charger 180
P000053,ZenX Tablet 442,ZenX,Tablet,3829.79,INR,1688,3.77,270,399,2021-12-25,Tablet 442
P000054,PixelWave Headphones 397,PixelWave,Headphones,9156.14,INR,769,3.44,226,355,2021-06-07,Headphones 397
P000055,ByteCorp Smartwatch 318,ByteCorp,Smartwatch,2007.76,INR,2791,4.95,270,61,2022-10-19,Smartwatch 318
P000056,ZenX Smartwatch 31,ZenX,Smartwatch,14987.22,INR,1957,3.92,420,405,2021-03-26,Smartwatch 31
P000057,Astra Bluetooth Speaker 175,Astra,Bluetooth Speaker,11903.58,INR,472,3.49,79,84,2024-08-12,Bluetooth Speaker 175
P000058,NeoTech Charger 339,NeoTech,Charger,5901.4,INR,2773,4.3,152,105,2021-07-14,Charger 339
P000059,ByteCorp Headphones 45,ByteCorp,Headphones,3503.05,INR,1203,4.96,44,43,2021-04-19,Headphones 45
P000060,ZenX Headphones 16,ZenX,Headphones,4608.61,INR,484,3.74,51,387,2021-02-24,Headphones 16
P000061,ZenX Smartphone 315,ZenX,Smartphone,7673.11,INR,991,3.89,322,469,2023-11-08,Smartphone 315
P000062,Voltix Gaming Console 207,Voltix,Gaming Console,14027.49,INR,1397,3.32,43,84,2022-09-07,Gaming Console 207
P000063,Voltix Power Bank 398,Voltix,Power Bank,8662.95,INR,1323,4.74,85,399,2024-05-15,Power Bank 398
P000064,PixelWave Smartphone 344,PixelWave,Smartphone,12121.51,INR,1057,3.61,441,38,2024-07-11,Smartphone 344
P000065,Skyline Smartphone 382,Skyline,Smartphone,6032.71,INR,2282,3.61,116,325,2024-08-22,Smartphone 382
P000066,PixelWave Smartwatch 56,PixelWave,Smartwatch,5771.09,INR,955,4.55,176,277,2022-02-20,Smartwatch 56
P000067,NeoTech Wireless Earbuds 311,NeoTech,Wireless Earbuds,31589.7,INR,549,4.04,315,163,2023-10-11,Wireless Earbuds 311
P000068,Skyline Charger 309,Skyline,Charger,5552.21,INR,2056,3.47,378,223,2021-03-17,Charger 309
P000069,Lumina Monitor 205,Lumina,Monitor,3904.83,INR,2988,3.54,118,416,2023-12-22,Monitor 205
P000070,Astra Monitor 385,Astra,Monitor,6723.79,INR,787,3.77,28,380,2024-11-04,Monitor 385
P000071,Astra Bluetooth Speaker 236,Astra,Bluetooth Speaker,22553.71,INR,339,4.15,313,464,2022-12-20,Bluetooth Speaker 236
P000072,Everest Headphones 479,Everest,Headphones,4134.58,INR,1633,4.73,68,35,2022-08-22,Headphones 479
P000073,ByteCorp Gaming Console 258,ByteCorp,Gaming Console,1878.4,INR,1592,4.34,461,278,2022-11-16,Gaming Console 258
P000074,Everest Charger 484,Everest,Charger,3117.52,INR,2890,4.15,218,108,2021-07-30,Charger 484
P000075,Voltix Charger 48,Voltix,Charger,8064.74,INR,1973,3.85,221,269,2023-12-08,Charger 48
P000076,Astra Smartphone 355,Astra,Smartphone,6658.28,INR,193,3.93,61,470,2024-11-13,Smartphone 355
P000077,Lumina Power Bank 84,Lumina,Power Bank,7912.32,INR,666,3.85,169,154,2022-08-26,Power Bank 84
P000078,Skyline Smartphone 145,Skyline,Smartphone,2559.2,INR,2302,4.24,472,250,2021-08-17,Smartphone 145
P000079,NovaLink Charger 378,NovaLink,Charger,14421.0,INR,1143,3.01,499,362,2022-02-24,Charger 378
P000080,Skyline Smartwatch 175,Skyline,Smartwatch,8974.17,INR,826,3.77,377,496,2021-01-13,Smartwatch 175
P000081,Everest Tablet 495,Everest,Tablet,10833.4,INR,1088,2.95,323,200,2024-09-25,Tablet 495
P000082,NovaLink Gaming Console 161,NovaLink,Gaming Console,11929.09,INR,691,3.56,120,151,2024-10-03,Gaming Console 161
P000083,PixelWave Phone Case 220,PixelWave,Phone Case,20646.27,INR,1402,3.89,492,290,2024-03-12,Phone Case 220
P000084,PixelWave Smartphone 480,PixelWave,Smartphone,4144.77,INR,880,4.21,49,280,2021-09-12,Smartphone 480
P000085,NovaLink Monitor 253,NovaLink,Monitor,9244.19,INR,1296,4.74,210,403,2022-05-03,Monitor 253
