review_id,order_id,product_id,user_id,rating,review_text,review_date
R00000001,O00001861,P000203,U000357,2,Performance is smooth and reliable.,2024-12-03 09:25:28
R00000002,O00000354,P000263,U000299,4,Sound quality is top-notch.,2023-02-02 16:08:14
R00000003,O00001334,P000062,U000005,4,Not fully satisfied with the performance.,2023-10-07 04:06:58
R00000004,O00000906,P000276,U000245,2,"Decent overall, could be better.",2025-01-25 06:54:58
R00000005,O00001290,P000189,U000203,5,Battery life is amazing.,2024-11-13 23:47:37
R00000006,O00001274,P000276,U000218,3,Great value and fast delivery.,2024-05-17 03:53:36
R00000007,O00000939,P000125,U000018,4,Great value and fast delivery.,2024-05-05 20:02:56
R00000008,O00001732,P000294,U000147,1,Packaging was slightly damaged but product is fine.,2022-07-06 16:17:40
R00000009,O00000066,P000284,U000195,4,Very good quality for the price.,2024-04-22 02:14:44
R00000010,O00001324,P000231,U000386,3,"Excellent product, works as expected.",2023-10-16 09:14:20
R00000011,O00000057,P000107,U000312,4,"Excellent product, works as expected.",2024-06-14 10:53:26
R00000012,O00001293,P000068,U000496,5,Battery life is amazing.,2024-08-18 00:42:28
R00000013,O00001119,P000057,U000014,4,Great value and fast delivery.,2021-08-20 11:11:48
R00000014,O00000585,P000090,U000065,4,Great value and fast delivery.,2024-09-16 05:56:05
R00000015,O00000375,P000022,U000403,4,Great value and fast delivery.,2022-08-02 09:40:12
R00000016,O00000276,P000186,U000354,4,Performance is smooth and reliable.,2024-06-26 02:35:22
R00000017,O00000747,P000270,U000181,5,Very good quality for the price.,2024-03-10 14:15:59
R00000018,O00000129,P000204,U000049,4,Performance is smooth and reliable.,2024-12-27 01:21:47
R00000019,O00001647,P000127,U000415,4,Stopped working after a few weeks.,2024-06-17 00:39:58
R00000020,O00001853,P000080,U000069,3,"Excellent product, works as expected.",2025-02-13 13:52:38
R00000021,O00000675,P000166,U000472,2,Not fully satisfied with the performance.,2024-09-19 10:29:30
R00000022,O00001665,P000147,U000057,5,Sound quality is top-notch.,2023-05-06 02:32:58
R00000023,O00001982,P000210,U000167,5,Stopped working after a few weeks.,2024-06-23 10:17:48
